susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0146322186556116,0.00160680162660022
0.3537,0.0152,0.0142043760048627,0.00112476113862015
0.3998,0.0213,0.00795787330392911,0.0152646154527021
0.4318,0.0262,0.00641763976123315,0.00835536845832113
0.6081,0.0668,0.00513411180898652,0.00964080975960131
0.7004,0.0982,0.00359387826629057,0.0202457004951627
0.7152,0.1039,0.00539081739943585,0.0187995790312225
0.6895,0.0941,0.00770116771347978,0.0202457004951627
0.7075,0.1009,0.010268223617973,0.0302078705800841
0.766,0.1253,0.0138621018842636,0.0335821539959445
0.8963,0.1925,0.0139476704144134,0.0512569718885469
1.0018,0.2607,0.0132631221732152,0.0912663323908924
1.0455,0.2929,0.0178838228013031,0.157305879244161
1.307,0.5387,0.0211354269469945,0.14798642980988
1.387,0.6334,0.0207931528263954,0.265604308877016
1.3056,0.5371,0.0222478178389416,0.364101248587609
1.4357,0.696,0.0242158940323864,0.420821346006597
1.5476,0.8541,0.0225900919595407,0.558363565243576
1.5698,0.888,0.0196807619344483,0.928892020337586
1.5229,0.8174,0.0166002948490564,1
1.5776,0.9,0.0166002948490564,1
